Repository,Metric,Period,Count
stackflow,Total,All time,157
stackflow,Yearly,2023,16
stackflow,Yearly,2024,121
stackflow,Yearly,2025,20
stackflow,Monthly,2025-05,5
stackflow,Monthly,2025-04,2
stackflow,Monthly,2025-03,4
stackflow,Monthly,2025-02,4
stackflow,Monthly,2025-01,5
stackflow,Monthly,2024-12,4
stackflow,Monthly,2024-11,2
stackflow,Monthly,2024-10,1
stackflow,Monthly,2024-09,16
stackflow,Monthly,2024-08,23
stackflow,Monthly,2024-07,44
stackflow,Monthly,2024-05,4
stackflow,Monthly,2024-02,10
stackflow,Monthly,2024-01,17
stackflow,Monthly,2023-12,16
stackflow,Weekly,2025-W22,2
stackflow,Weekly,2025-W20,3
stackflow,Weekly,2025-W15,2
stackflow,Weekly,2025-W13,2
stackflow,Weekly,2025-W11,2
stackflow,Weekly,2025-W9,1
stackflow,Weekly,2025-W7,3
stackflow,Weekly,2025-W4,5
stackflow,Weekly,2024-W51,4
stackflow,Weekly,2024-W47,1
stackflow,Weekly,2024-W45,1
stackflow,Weekly,2024-W43,1
stackflow,Weekly,2024-W39,5
stackflow,Weekly,2024-W37,1
stackflow,Weekly,2024-W36,10
stackflow,Weekly,2024-W34,1
stackflow,Weekly,2024-W33,15
stackflow,Weekly,2024-W32,5
stackflow,Weekly,2024-W31,14
stackflow,Weekly,2024-W30,30
stackflow,Weekly,2024-W28,2
stackflow,Weekly,2024-W22,1
stackflow,Weekly,2024-W21,3
stackflow,Weekly,2024-W7,10
stackflow,Weekly,2024-W5,13
stackflow,Weekly,2024-W4,2
stackflow,Weekly,2024-W3,2
stackflow,Weekly,2023-W51,15
stackflow,Weekly,2023-W48,1
stackflow,Author,github-actions[bot],157
seed-design,Total,All time,327
seed-design,Yearly,2021,4
seed-design,Yearly,2022,19
seed-design,Yearly,2023,28
seed-design,Yearly,2024,1
seed-design,Yearly,2025,275
seed-design,Monthly,2025-06,10
seed-design,Monthly,2025-05,83
seed-design,Monthly,2025-04,80
seed-design,Monthly,2025-03,46
seed-design,Monthly,2025-02,56
seed-design,Monthly,2024-01,1
seed-design,Monthly,2023-07,3
seed-design,Monthly,2023-05,1
seed-design,Monthly,2023-04,4
seed-design,Monthly,2023-03,2
seed-design,Monthly,2023-02,16
seed-design,Monthly,2023-01,2
seed-design,Monthly,2022-12,5
seed-design,Monthly,2022-11,12
seed-design,Monthly,2022-10,1
seed-design,Monthly,2022-03,1
seed-design,Monthly,2021-10,4
seed-design,Weekly,2025-W23,10
seed-design,Weekly,2025-W22,53
seed-design,Weekly,2025-W21,13
seed-design,Weekly,2025-W19,9
seed-design,Weekly,2025-W18,39
seed-design,Weekly,2025-W17,30
seed-design,Weekly,2025-W16,18
seed-design,Weekly,2025-W15,1
seed-design,Weekly,2025-W13,1
seed-design,Weekly,2025-W12,8
seed-design,Weekly,2025-W11,23
seed-design,Weekly,2025-W10,14
seed-design,Weekly,2025-W9,31
seed-design,Weekly,2025-W8,25
seed-design,Weekly,2024-W5,1
seed-design,Weekly,2023-W31,1
seed-design,Weekly,2023-W29,1
seed-design,Weekly,2023-W27,1
seed-design,Weekly,2023-W21,1
seed-design,Weekly,2023-W17,1
seed-design,Weekly,2023-W16,2
seed-design,Weekly,2023-W15,1
seed-design,Weekly,2023-W10,2
seed-design,Weekly,2023-W8,5
seed-design,Weekly,2023-W7,5
seed-design,Weekly,2023-W6,6
seed-design,Weekly,2023-W3,2
seed-design,Weekly,2022-W50,5
seed-design,Weekly,2022-W49,2
seed-design,Weekly,2022-W48,8
seed-design,Weekly,2022-W47,2
seed-design,Weekly,2022-W41,1
seed-design,Weekly,2022-W11,1
seed-design,Weekly,2021-W42,4
seed-design,Author,github-actions[bot],327
